910;Pousse-toi.
1090;Ton regard
1420;est comme le mien :
1090;perçant !
2540;Ce sont des animaux très sensibles !
1040;Faites attention !
1710;Toutes mes excuses...
2580;Voilà ce qui arrive quand on veut crâner.
1710;Un spectacle de fauconnerie,
2090;les yeux perçants révèlent la supercherie.
3130;Déceleur de la vérité, un cerveau d'adulte dans un corps d'enfant...
2290;Voici Détective Conan !
2420;Faucon habile cache le crime
1120;Dites-moi,
3340;vous comptez vraiment faire un festival ?
1040;D'accord...
2160;Voici vos thés.
2170;La nature présente en cette montagne
3330;a le pouvoir d'apaiser le cœur des gens.
4220;Je voulais la faire découvrir au plus grand nombre.
1170;Je vois,
3470;c'est vrai que se retrouver entouré de nature
4010;nous permet de nous échapper de la vie quotidienne.
1800;- Je vais aux toilettes. - OK.
